dependent vars,target group size,extra reproduction probability,cost of prosociality,reproduction type,prosocial phenotype,number of rounds,base reproduction rate,base reproduction probability,prosociality type,migration type,seed proportion prosocial,mutation rate,placeholder 1,placeholder 2,placeholder 3,placeholder 4,placeholder 5,starting state,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11,Round 12,Round 13,Round 14,Round 15,Round 16,Round 17,Round 18,Round 19,Round 20,Round 21,Round 22,Round 23,Round 24,Round 25,Round 26,Round 27,Round 28,Round 29,Round 30
groups counts:,10,0.1,0.0,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,10,10,11,12,12,13,14,15,16,17,19,20,21,23,25,27,28,29,32,33,35,37,40,42,46,49,53,57,61,66,72
standard deviations in prosocial proportions,10,0.1,0.0,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.12688577540449517,0.30883545593564093,0.25809217393778888,0.29712716140722256,0.31727866047533221,0.25527152514697399,0.26711605469470012,0.306957487634334,0.26669222286286709,0.26312639799157056,0.23431132225124987,0.23852334986275886,0.26808318679343229,0.27896357256332577,0.24915836290833696,0.30030629709012757,0.26669662014827966,0.26508065136631664,0.2813468325041602,0.2762836307639292,0.24782908839813342,0.25067542165871204,0.27070271272686935,0.25318865652474931,0.25194892512087685,0.25173290307002466,0.2194012759723232,0.22420823566449891,0.24244559565049104,0.23451261700729784,0.24738992439337143
prosociality proportions:,10,0.15,0.0,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.53,0.5092592592592593,0.5210084033613446,0.5354330708661418,0.5373134328358209,0.547945205479452,0.53125,0.5480225988700564,0.5555555555555556,0.5754716981132075,0.5752212389380531,0.5863453815261044,0.599290780141844,0.61,0.6024464831804281,0.6089385474860335,0.618925831202046,0.6211764705882353,0.6244541484716157,0.6314741035856574,0.6403669724770642,0.6452702702702703,0.6377708978328174,0.6446991404011462,0.6504481434058899,0.65625,0.6606574761399788,0.6605769230769231,0.6678260869565218,0.6690647482014388,0.6722141823444283
population counts:,10,0.15,0.0,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,100,108,119,127,134,146,160,177,198,212,226,249,282,300,327,358,391,425,458,502,545,592,646,698,781,864,943,1040,1150,1251,1382
groups counts:,10,0.15,0.0,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,10,10,11,12,13,14,16,17,19,21,22,24,28,30,32,35,39,42,45,50,54,59,64,69,78,86,94,104,115,125,138
standard deviations in prosocial proportions,10,0.15,0.0,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.089999999999999969,0.32215698652511349,0.2739880370462266,0.24507429393970701,0.23960308704713743,0.27012752871113133,0.2754967105066774,0.22266427342244774,0.30587886726720648,0.28592173696559253,0.29298453166803057,0.28533867396716606,0.2792404100619576,0.26751946969644413,0.2624378861970395,0.26843108786943959,0.28121192944820472,0.277670112753022,0.27044649553330663,0.28591300763323851,0.28466933258680466,0.24719552960803548,0.27258456108687362,0.26616042195190809,0.26124463590133545,0.25497479560025765,0.25435386956848466,0.27470903111319062,0.2436461509205724,0.2601363426893315,0.25489203165748275
prosociality proportions:,10,0.2,0.0,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.53,0.5181818181818182,0.5238095238095238,0.5434782608695652,0.564935064935065,0.5705521472392638,0.5879120879120879,0.5990338164251208,0.6111111111111112,0.615686274509804,0.6236559139784946,0.637223974763407,0.632768361581921,0.6410891089108911,0.6341991341991342,0.629126213592233,0.6374570446735395,0.6442451420029895,0.65814266487214,0.6674669867947179,0.6810526315789474,0.6910798122065728,0.6991803278688524,0.7054151624548737,0.7114267269205939,0.71791972866026,0.7208374875373879,0.725644386194845,0.7316888045540797,0.7417763157894737,0.7426784191071937
population counts:,10,0.2,0.0,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,100,110,126,138,154,163,182,207,234,255,279,317,354,404,462,515,582,669,743,833,950,1065,1220,1385,1549,1769,2006,2289,2635,3040,3517
groups counts:,10,0.2,0.0,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,10,11,12,13,15,16,18,20,23,25,27,31,35,40,46,51,58,66,74,83,95,106,122,138,154,176,200,228,263,304,351
standard deviations in prosocial proportions,10,0.2,0.0,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.14866068747318503,0.28762349126466136,0.31741158577500872,0.24756813842856104,0.28162660314547322,0.26553915117320293,0.29365809720363556,0.2437126746162272,0.28521258653945225,0.28628245602568658,0.29009455122055572,0.26259914389900851,0.27761389702506223,0.27475674816309248,0.25414189894183686,0.28359556816176051,0.2771773290595354,0.24437326959971273,0.239921131801169,0.24388963884976689,0.23263047729969058,0.25671211572985936,0.24644884470337899,0.24930237982648018,0.24270427766090499,0.23760741552320727,0.24179453062739512,0.24714574487017926,0.2345260705116082,0.22034244273547735,0.2242697713522375
prosociality proportions:,10,0.25,0.0,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.53,0.5084745762711864,0.5114503816793893,0.5302013422818792,0.5502958579881657,0.5634517766497462,0.5596330275229358,0.5743801652892562,0.6093189964157706,0.6184615384615385,0.6344086021505376,0.639344262295082,0.6488095238095238,0.6625659050966608,0.6676829268292683,0.6767810026385225,0.6906392694063926,0.7034548944337812,0.7127572016460906,0.7257617728531855,0.7348130841121495,0.7404655770183259,0.7498957899124635,0.7586445366528354,0.7680115273775217,0.7710201114611097,0.781038374717833,0.7847054770926628,0.7891087678751986,0.7916515426497278,0.7984285282562708
population counts:,10,0.25,0.0,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,100,118,131,149,169,197,218,242,279,325,372,427,504,569,656,758,876,1042,1215,1444,1712,2019,2399,2892,3470,4127,4873,5806,6923,8265,9927
groups counts:,10,0.25,0.0,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,10,11,13,14,16,19,21,24,27,32,37,42,50,56,65,75,87,104,121,144,171,201,239,289,347,412,487,580,692,826,992
standard deviations in prosocial proportions,10,0.25,0.0,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.12688577540449519,0.27076736852955968,0.28233904294284312,0.22663826096322259,0.27470342290887317,0.28777111223937291,0.29510153736531414,0.29454015458506433,0.21537127603775114,0.28406690239476512,0.27097171595927366,0.24523045345208036,0.27260051599788665,0.24148680817143992,0.25646581191415185,0.24561411266666733,0.2477506539629549,0.22493308919737365,0.23301705246639903,0.23535136774481938,0.22785368339805764,0.22302925261198622,0.22597072018350448,0.22008428493696267,0.21418542469331597,0.21299296988424696,0.20860155836469502,0.20534906876546943,0.20822964562257243,0.20068865813752923,0.19924326049614541
prosociality proportions:,10,0.3,0.0,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.53,0.5446428571428571,0.5736434108527132,0.5540540540540541,0.5681818181818182,0.6048780487804878,0.6033057851239669,0.6134751773049646,0.6173913043478261,0.6370192307692307,0.6465863453815262,0.6599326599326599,0.6685393258426966,0.6823529411764706,0.6891495601173021,0.7010734929810074,0.7215988779803647,0.7265981735159818,0.7384399813171415,0.7467482785003825,0.7564996829422955,0.7627380339680906,0.7707060063224447,0.7778927401276082,0.7843026538678712,0.790665751544269,0.796625880608083,0.8022933373304354,0.8078776198506384,0.8124123252551637,0.8182844683253514
population counts:,10,0.3,0.0,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,100,112,129,148,176,205,242,282,345,416,498,594,712,850,1023,1211,1426,1752,2141,2614,3154,3886,4745,5799,7084,8742,10788,13343,16604,20673,25683
groups counts:,10,0.3,0.0,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,10,11,12,14,17,20,24,28,34,41,49,59,71,85,102,121,142,175,214,261,315,388,474,579,708,874,1078,1334,1660,2067,2568
standard deviations in prosocial proportions,10,0.3,0.0,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.14177446878757824,0.2843322207452097,0.21731202890391524,0.26600322612642191,0.31573736339658648,0.27869938483505491,0.26460739625074142,0.24634856596999527,0.27413615853836282,0.22321421723729765,0.27412670995481625,0.28272529848347622,0.25382886810278504,0.25569431816257338,0.25680207806319377,0.23514447378945355,0.24006348234372193,0.24487541293345585,0.22503427625003086,0.2175864883128717,0.22787680241864186,0.22114758353997316,0.20606251611061627,0.20744636528329111,0.20546586622528817,0.20086693607451672,0.20013490157719568,0.19981247990273981,0.19387047252492812,0.19062907329628689,0.18632370707058352
prosociality proportions:,10,0.35,0.0,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.53,0.5166666666666667,0.5460992907801419,0.5654761904761905,0.5618556701030928,0.5648535564853556,0.5813148788927336,0.5942857142857143,0.6057007125890737,0.6185770750988142,0.6392405063291139,0.658974358974359,0.6680286006128703,0.6861788617886179,0.7069306930693069,0.7202099737532809,0.734329597343296,0.7479406919275123,0.760334903192046,0.7669203867516972,0.7769118363370677,0.7852760736196319,0.7913582716543308,0.799122532121592,0.8056608387333415,0.8116734849205595,0.8170429769779387,0.8245588909257562,0.8308769589863287,0.8357294123723765,0.8414889945038898
population counts:,10,0.35,0.0,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,100,120,141,168,194,239,289,350,421,506,632,780,979,1230,1515,1905,2409,3035,3822,4861,6159,7824,9998,12764,16358,21022,27061,34912,44985,58081,75326
groups counts:,10,0.35,0.0,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,10,12,14,16,19,23,28,35,42,50,63,78,97,123,151,190,240,303,382,486,615,782,999,1276,1635,2102,2706,3491,4498,5808,7532
standard deviations in prosocial proportions,10,0.35,0.0,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.12688577540449519,0.26718699236468996,0.25092172805690677,0.26481905564253672,0.2568304725761914,0.27322519035493686,0.22947908627427124,0.24886197555898631,0.29370316426047177,0.27836500207491116,0.27204993459773008,0.25441531634060799,0.24956200153047567,0.26054835169993462,0.23836687236321319,0.24169938272021921,0.22719923054034916,0.22667734230851275,0.23297298087788412,0.2195265538726637,0.21071480671934251,0.20902896044738559,0.20466723578246621,0.19317125760318515,0.19298868521141499,0.19298599349059756,0.18524456411044052,0.18402166330185155,0.177660176172108,0.17471728698077593,0.17036727190343884
prosociality proportions:,10,0.4,0.0,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.53,0.5462184873949579,0.5902777777777778,0.6235955056179775,0.6607142857142857,0.6879432624113475,0.7032085561497327,0.7305263157894737,0.7387820512820513,0.7527812113720643,0.763915547024952,0.7833698030634574,0.7974401780745687,0.8079800498753117,0.8102629078238834,0.8146107784431138,0.8215640238396243,0.8293768545994066,0.8336697618086395,0.8403716854272116,0.845273180684652,0.8493325397500212,0.8542897059757414,0.8585860970140446,0.863201575467717,0.8668469386422124,0.8704767458813238,0.8744202460173423,0.8785222258386379,0.8813245618535341,0.8848446439471156
population counts:,10,0.4,0.0,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,100,119,144,178,224,282,374,475,624,809,1042,1371,1797,2406,3157,4175,5537,7414,9908,13237,17644,23522,31494,42365,56872,76551,102885,138852,187417,253397,342407
groups counts:,10,0.4,0.0,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,10,11,14,17,22,28,37,47,62,80,104,137,179,240,315,417,553,741,990,1323,1764,2352,3149,4236,5687,7655,10288,13885,18741,25339,34240
standard deviations in prosocial proportions,10,0.4,0.0,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.12688577540449517,0.22545230530004701,0.29332326771447104,0.30176961659650808,0.2675366942961116,0.26855399319174961,0.23035563372307699,0.22244573288582967,0.233978316770689,0.21794847251943225,0.21979995484004197,0.20715083181314647,0.20000226929739104,0.18469687259176606,0.19334356187524579,0.18499527163065027,0.17866224078129025,0.17978967361633638,0.17579991031857123,0.17644732800993726,0.16794281567976449,0.16559705489820467,0.16339107337496447,0.1578016566756722,0.15517677225017015,0.1536702172966595,0.1497575908665259,0.1473929708960891,0.14403982915969177,0.1423381505122715,0.13933899776052189
prosociality proportions:,10,0.45,0.0,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.53,0.5625,0.5875,0.6169154228855721,0.6436781609195402,0.6616766467065869,0.6689814814814815,0.6736474694589878,0.6748971193415638,0.6928799149840595,0.7096,0.7198795180722891,0.7324581258488003,0.7453861927546138,0.7588670579229395,0.7680304471931494,0.7787234042553192,0.7898082534389329,0.8000309071240921,0.8108385624643468,0.8178692717286487,0.8239464718701084,0.8295235101270939,0.8370061349693252,0.8445453572829614,0.8506189418590637,0.8564126191528706,0.8608329698888084,0.865292959181356,0.8697066655464459,0.8740365288529618
population counts:,10,0.45,0.0,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,100,128,160,201,261,334,432,573,729,941,1250,1660,2209,2926,3919,5255,7050,9596,12942,17530,23851,32581,44534,61125,84121,116166,160613,222409,308217,428487,596022
groups counts:,10,0.45,0.0,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,10,12,16,20,26,33,43,57,72,94,125,166,220,292,391,525,705,959,1294,1753,2385,3258,4453,6112,8412,11616,16061,22240,30821,42848,59602
standard deviations in prosocial proportions,10,0.45,0.0,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.12688577540449519,0.29041941109959291,0.28034576865007255,0.2724767789029412,0.29741765166797535,0.25998261002516276,0.25502584833189773,0.23601439697832491,0.2455911620470593,0.2315161894292655,0.22916181127916269,0.24938958720643623,0.23038993369736127,0.22951113488705585,0.22327452501672373,0.21519284476682443,0.20688738007061644,0.20589622501727028,0.20073519535762385,0.18944025538691947,0.18544144849428904,0.18342292853247125,0.18048581925999177,0.17588432707152846,0.1703183844988371,0.16583857583636788,0.16085353156850607,0.15807782301102241,0.15467786612924381,0.15129787057650582,0.1479756279315689
prosociality proportions:,10,0.5,0.0,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.53,0.5327868852459017,0.5517241379310345,0.5721925133689839,0.5725806451612904,0.5700934579439252,0.5966183574879227,0.624765478424015,0.6556671449067432,0.6775244299674267,0.6979423868312757,0.7075242718446602,0.7214128035320089,0.7389466840052016,0.7539217981737298,0.7690735694822888,0.7807697036763802,0.7885122079747058,0.7989873417721519,0.8058190731242341,0.8149500694825971,0.8225543165881136,0.8300443603627112,0.8376331798086135,0.8445072073318628,0.8511972112692154,0.856745212072596,0.862213765132117,0.8676038030010879,0.8721447434530174,0.8764031550067279
population counts:,10,0.5,0.0,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,100,122,145,187,248,321,414,533,697,921,1215,1648,2265,3076,4271,5872,8133,11386,15800,22031,30943,43495,61316,86631,122861,174990,249325,355783,509282,730451,1048619
groups counts:,10,0.5,0.0,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,10,12,14,18,24,32,41,53,69,92,121,164,226,307,427,587,813,1138,1580,2203,3094,4349,6131,8663,12286,17499,24932,35578,50928,73045,104861
standard deviations in prosocial proportions,10,0.5,0.0,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.12688577540449519,0.24947603494327722,0.24662676184049551,0.26737976662043861,0.25829195216421424,0.3112594176941571,0.26035883930954135,0.26926618602759123,0.27778085032346733,0.27573559583669488,0.24449076591748092,0.233991462794573,0.22868148880706185,0.22457744358640688,0.22407389792230201,0.21121335653674086,0.20916129509871276,0.20199982844689426,0.198918563177191,0.19485229217653069,0.18845925523307155,0.18382297563106659,0.17902329057861835,0.17215233255556694,0.16999799212292305,0.16399686099388522,0.1616035366813636,0.15673056917759567,0.15283215710533551,0.14949305199364532,0.14647222740623733
prosociality proportions:,10,0.0,0.01,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.53,0.53,0.53,0.53,0.53,0.53,0.5252525252525253,0.5154639175257731,0.5104166666666666,0.5052631578947369,0.5052631578947369,0.5052631578947369,0.5,0.5,0.5,0.5,0.4946236559139785,0.4835164835164835,0.4835164835164835,0.4835164835164835,0.4777777777777778,0.4777777777777778,0.4777777777777778,0.4777777777777778,0.4777777777777778,0.47191011235955055,0.4659090909090909,0.45977011494252873,0.4470588235294118,0.44047619047619047,0.44047619047619047
population counts:,10,0.0,0.01,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,100,100,100,100,100,100,99,97,96,95,95,95,94,94,94,94,93,91,91,91,90,90,90,90,90,89,88,87,85,84,84
groups counts:,10,0.0,0.01,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8
standard deviations in prosocial proportions,10,0.0,0.01,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.16155494421403513,0.24919871588754225,0.30016662039607273,0.2865309756378881,0.25709920264364883,0.21931712199461309,0.27436627566369154,0.23379317712728254,0.26166368098084314,0.26943076909764274,0.25915846186511099,0.29407792883083927,0.25998586956993081,0.27181659561291854,0.31240098293558305,0.25895768992227403,0.25516923928938318,0.30313533927724889,0.24294894684140919,0.25255346275509027,0.31182778940936917,0.26136363636363641,0.2726598585662548,0.21311447308584963,0.27672262867922548,0.26636458171566652,0.20039991009714089,0.2211913647381171,0.2763934456112509,0.28161420404048398,0.26095818353467864
prosociality proportions:,10,0.05,0.01,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.53,0.5188679245283019,0.5277777777777778,0.5181818181818182,0.5181818181818182,0.5089285714285714,0.5089285714285714,0.5,0.4957983193277311,0.4959349593495935,0.5,0.5,0.5153846153846153,0.518796992481203,0.5111111111111111,0.5,0.4927536231884058,0.49645390070921985,0.4965034965034965,0.48322147651006714,0.4797297297297297,0.4900662251655629,0.49032258064516127,0.4873417721518987,0.5,0.5,0.5058823529411764,0.5029239766081871,0.49710982658959535,0.5027932960893855,0.5
population counts:,10,0.05,0.01,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,100,106,108,110,110,112,112,114,119,123,124,126,130,133,135,138,138,141,143,149,148,151,155,158,164,166,170,171,173,179,180
groups counts:,10,0.05,0.01,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,10,10,10,11,11,11,11,11,11,12,12,12,13,13,13,13,13,14,14,14,14,15,15,15,16,16,17,17,17,17,18
standard deviations in prosocial proportions,10,0.05,0.01,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.17916472867168917,0.27378733376880571,0.31119072836684514,0.31241527777162875,0.26048270512535276,0.26165333088791032,0.31532720190429137,0.26258060986266563,0.24519720891159202,0.32790343267038974,0.28992395538860294,0.29732797651723714,0.31524255677992197,0.25648411970898227,0.24693625705733205,0.21664988986400124,0.29118458454090207,0.24522854296836846,0.25232349185870095,0.34592780784070654,0.27572945618350697,0.27060787502828393,0.23111572585861409,0.28291914603397528,0.27516371441635423,0.28552309451251051,0.28239436608379381,0.2406080612799425,0.24674468916722689,0.30177890283839776,0.29059326290271159
prosociality proportions:,10,0.1,0.01,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.53,0.5370370370370371,0.5565217391304348,0.5666666666666667,0.5655737704918032,0.5634920634920635,0.5692307692307692,0.5928571428571429,0.5972222222222222,0.6,0.6163522012578616,0.6294117647058823,0.6271186440677966,0.6218905472636815,0.6226415094339622,0.6355555555555555,0.6455696202531646,0.6521739130434783,0.6468401486988847,0.6538461538461539,0.6447368421052632,0.6430769230769231,0.6494252873563219,0.6622340425531915,0.6625310173697271,0.6737588652482269,0.6790393013100436,0.6728395061728395,0.6782273603082851,0.6823104693140795,0.6819727891156463
population counts:,10,0.1,0.01,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,100,108,115,120,122,126,130,140,144,150,159,170,177,201,212,225,237,253,269,286,304,325,348,376,403,423,458,486,519,554,588
groups counts:,10,0.1,0.01,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,10,10,11,12,12,12,13,14,14,15,15,17,17,20,21,22,23,25,26,28,30,32,34,37,40,42,45,48,51,55,58
standard deviations in prosocial proportions,10,0.1,0.01,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.14866068747318506,0.33547794941762499,0.29130339439309716,0.30092450142112981,0.2866751151935899,0.28689124875709748,0.28081035170944268,0.28148657850340042,0.30775932752207957,0.27075041112428055,0.21558335614927712,0.27803546358021392,0.23288524468089997,0.28417598726060089,0.23373494559733349,0.27987746984804468,0.25646613570822885,0.25804519387983416,0.27642663171784215,0.24658145079028235,0.25668455449098071,0.26199959683112001,0.25546109972684311,0.27651722705738269,0.26989810979223527,0.28027829204379334,0.23636724842642595,0.24254702146526402,0.24325614836835729,0.27585417004743679,0.26423003914346088
prosociality proportions:,10,0.15,0.01,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.53,0.5229357798165137,0.5619834710743802,0.5714285714285714,0.5862068965517241,0.6139240506329114,0.6193181818181818,0.6302083333333334,0.6511627906976745,0.6497890295358649,0.6575875486381323,0.6538461538461539,0.6493506493506493,0.6443768996960486,0.6582633053221288,0.6649076517150396,0.6682464454976303,0.6760869565217391,0.6771653543307087,0.6810035842293907,0.6818181818181818,0.6918429003021148,0.6995884773662552,0.7070707070707071,0.7174163783160323,0.7241735537190083,0.7264239028944911,0.7297748123436196,0.7321699544764795,0.7352328005559416,0.7425679949399114
population counts:,10,0.15,0.01,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,100,109,121,133,145,158,176,192,215,237,257,286,308,329,357,379,422,460,508,558,616,662,729,792,867,968,1071,1199,1318,1439,1581
groups counts:,10,0.15,0.01,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,10,10,12,13,14,15,17,19,21,23,25,28,30,32,35,37,42,46,50,55,61,66,72,79,86,96,107,119,131,143,158
