dependent vars,target group size,extra reproduction probability,cost of prosociality,reproduction type,prosocial phenotype,number of rounds,base reproduction rate,base reproduction probability,prosociality type,migration type,seed proportion prosocial,mutation rate,placeholder 1,placeholder 2,placeholder 3,placeholder 4,placeholder 5,starting state,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11,Round 12,Round 13,Round 14,Round 15,Round 16,Round 17,Round 18,Round 19,Round 20,Round 21,Round 22,Round 23,Round 24,Round 25,Round 26,Round 27,Round 28,Round 29,Round 30
population counts:,2,0.15,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,20,20,20,22,24,23,23,26,27,30,33,35,39,42,43,44,46,50,57,60,63,66,68,74,79,86,91,100,107,112,117
groups counts:,2,0.15,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,10,10,10,11,12,11,11,13,13,15,16,17,19,21,21,22,23,25,28,30,31,33,34,37,39,43,45,50,53,56,58
standard deviations in prosocial proportions,2,0.15,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.34999999999999998,0.34999999999999998,0.3872983346207417,0.42459130676189988,0.37960139913101243,0.39440531887330776,0.3578485092263981,0.25572156443780514,0.36004114991154779,0.3779644730092272,0.43488803635725215,0.33576586377679579,0.39468780529531694,0.38899800056612682,0.39086797998528577,0.33402132856134242,0.39626354032187938,0.43161831203500928,0.35490369489913909,0.43748015828022291,0.41159880982203245,0.40474480771839433,0.41097613566123886,0.40853694428074638,0.39140897398812469,0.4098651217039796,0.39379367934445531,0.3872983346207417,0.44536291519696791,0.40049395521438935,0.38693998567845761
prosociality proportions:,2,0.2,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.55,0.5238095238095238,0.56,0.5185185185185185,0.5185185185185185,0.46153846153846156,0.4827586206896552,0.5151515151515151,0.5405405405405406,0.5128205128205128,0.5,0.4772727272727273,0.5,0.5192307692307693,0.5423728813559322,0.532258064516129,0.5774647887323944,0.5974025974025974,0.5875,0.5862068965517241,0.5842696629213483,0.5979381443298969,0.5865384615384616,0.5789473684210527,0.592,0.5939849624060151,0.6068965517241379,0.6234567901234568,0.6451612903225806,0.6487804878048781,0.6578947368421053
population counts:,2,0.2,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,20,21,25,27,27,26,29,33,37,39,42,44,48,52,59,62,71,77,80,87,89,97,104,114,125,133,145,162,186,205,228
groups counts:,2,0.2,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,10,10,12,13,13,13,14,16,18,19,21,22,24,26,29,31,35,38,40,43,44,48,52,57,62,66,72,81,93,102,114
standard deviations in prosocial proportions,2,0.2,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.14999999999999999,0.39051248379533271,0.28429846514526003,0.41083887382636219,0.3856512049143006,0.3856512049143006,0.48328055071867704,0.41614550740496209,0.40751261267898864,0.3718719560745038,0.37230513172814461,0.38368052309395756,0.4330127018922193,0.44894682807418274,0.31452011461006918,0.4075294430020735,0.41269735646763112,0.37780448188347421,0.36890886408434265,0.37134461810671959,0.41816191762046639,0.35476189089077065,0.34974102845140786,0.39964154502813104,0.35873754114209094,0.39254479902672812,0.39397440912832266,0.375,0.38480921876381891,0.3634363078289633,0.39356551358200975
prosociality proportions:,2,0.25,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.55,0.5454545454545454,0.5925925925925926,0.5714285714285714,0.5517241379310345,0.5882352941176471,0.6046511627906976,0.660377358490566,0.6885245901639344,0.7164179104477612,0.7297297297297297,0.7209302325581395,0.72,0.7321428571428571,0.7348484848484849,0.7346938775510204,0.7530120481927711,0.772020725388601,0.7792207792207793,0.7849462365591398,0.7781155015197568,0.7949367088607595,0.7922912205567452,0.8021015761821366,0.7988165680473372,0.811704834605598,0.8073196986006459,0.8052536231884058,0.8097043214556482,0.8118622448979592,0.8153681963713981
population counts:,2,0.25,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,20,22,27,28,29,34,43,53,61,67,74,86,100,112,132,147,166,193,231,279,329,395,467,571,676,786,929,1104,1319,1568,1874
groups counts:,2,0.25,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,10,11,13,14,14,17,21,26,30,33,37,43,50,56,66,73,83,96,115,139,164,197,233,285,338,393,464,552,659,784,937
standard deviations in prosocial proportions,2,0.25,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.41533119314590372,0.41533119314590372,0.32244963239566388,0.37115374447904509,0.3758965096154035,0.34860834438919813,0.37739972914080844,0.38530920326022355,0.37449554547450481,0.37601136766208426,0.3791494252852054,0.32831156812496909,0.34871191548325392,0.36552659804390575,0.31646361476068824,0.35437085617147424,0.34260479970439378,0.33157449747612255,0.3186195473018692,0.30587999044509606,0.33186146386460841,0.29225362885842049,0.32953941677691762,0.29927736296125762,0.3116074312412811,0.29027877278723319,0.30814841611128863,0.2988952014877117,0.29754261882692518,0.29666445245438905,0.29705124482146739
prosociality proportions:,2,0.3,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.55,0.625,0.6153846153846154,0.6333333333333333,0.6470588235294118,0.6511627906976745,0.6666666666666666,0.7241379310344828,0.7464788732394366,0.7558139534883721,0.7619047619047619,0.7538461538461538,0.7677419354838709,0.796875,0.8215767634854771,0.8282828282828283,0.8176943699731903,0.8250539956803455,0.8319039451114922,0.8403819918144612,0.8468368479467259,0.8434389140271493,0.8438661710037175,0.8453172205438066,0.843919251600197,0.8467709586843161,0.8504245591116917,0.8493150684931506,0.8528470889315419,0.8529109589041096,0.8563947078280044
population counts:,2,0.3,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,20,24,26,30,34,43,48,58,71,86,105,130,155,192,241,297,373,463,583,733,901,1105,1345,1655,2031,2493,3062,3796,4689,5840,7256
groups counts:,2,0.3,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,10,12,13,15,17,21,24,29,35,43,52,65,77,96,120,148,186,231,291,366,450,552,672,827,1015,1246,1531,1898,2344,2920,3628
standard deviations in prosocial proportions,2,0.3,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.41533119314590372,0.36084391824351614,0.36851386559504445,0.35734121475722941,0.3736956482219187,0.29814239699997191,0.42491829279939874,0.3642156795423418,0.30585249980012741,0.34739791473395693,0.31759893394064892,0.29165504069091053,0.35793343444040643,0.30257682392245444,0.27108606441679672,0.25699372658731379,0.29131649858374337,0.2920577538244758,0.2918097435151164,0.27567058858326304,0.26596641598278348,0.28107097962405897,0.27042238722174605,0.27192565247699135,0.27341244452011942,0.26970302687192382,0.26707789447161218,0.26262044714113092,0.26662437392919025,0.2701314094529792,0.26128427344296701
prosociality proportions:,2,0.35,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.55,0.5925925925925926,0.6176470588235294,0.6304347826086957,0.6666666666666666,0.6753246753246753,0.6770833333333334,0.6869565217391305,0.6785714285714286,0.6918604651162791,0.6893203883495146,0.6961538461538461,0.7178683385579937,0.7128205128205128,0.7298969072164948,0.7288135593220338,0.7348066298342542,0.747530186608123,0.7493380406001765,0.759018759018759,0.761430246189918,0.7631826741996234,0.7662288930581613,0.772591262716936,0.7803660565723793,0.7906626506024096,0.7962522308149911,0.7997402290707285,0.8079242831956945,0.8105982654711157,0.8164839626471783
population counts:,2,0.35,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,20,27,34,46,60,77,96,115,140,172,206,260,319,390,485,590,724,911,1133,1386,1706,2124,2665,3342,4207,5312,6724,8469,10777,13606,17241
groups counts:,2,0.35,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,10,13,17,23,30,38,48,57,70,86,103,130,159,195,242,295,362,455,566,693,853,1062,1332,1671,2103,2656,3362,4234,5388,6803,8620
standard deviations in prosocial proportions,2,0.35,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.34999999999999998,0.32244963239566393,0.33592740617910621,0.39691475446756774,0.32489314482696546,0.32880113708756686,0.36069353527459969,0.33638852843622963,0.34883186991642229,0.35900868561076582,0.33691843681254091,0.34805036022742147,0.34007005707363464,0.3574843331896454,0.34405289986928028,0.33872154858055942,0.34681437574985774,0.33656843342728965,0.33724763710778249,0.32842127845076241,0.32437023268490217,0.32862557266102199,0.3245949296814129,0.3166723281577708,0.31643976854083095,0.31082892583403976,0.30630533134568178,0.30222666042177038,0.29788549602781478,0.29901582828394496,0.29360608432194396
prosociality proportions:,2,0.4,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.55,0.52,0.5161290322580645,0.5263157894736842,0.5681818181818182,0.6,0.609375,0.654320987654321,0.6428571428571429,0.640625,0.6645569620253164,0.6666666666666666,0.6603053435114504,0.6666666666666666,0.6784037558685446,0.6943396226415094,0.7145015105740181,0.7289940828402367,0.7319304666056725,0.7403708987161198,0.7524377031419285,0.7649769585253456,0.7701639344262295,0.7794715447154471,0.7833137944509574,0.7887154861944778,0.7999538266189542,0.8050053059780686,0.8105078336034576,0.8148930687967019,0.8201744049021918
population counts:,2,0.4,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,20,25,31,38,44,55,64,81,98,128,158,204,262,330,426,530,662,845,1093,1402,1846,2387,3050,3936,5118,6664,8663,11308,14808,19405,25458
groups counts:,2,0.4,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,10,12,15,19,22,27,32,40,49,64,79,102,131,165,213,265,331,422,546,701,923,1193,1525,1968,2559,3332,4331,5654,7404,9702,12729
standard deviations in prosocial proportions,2,0.4,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.34999999999999998,0.32004773949452536,0.36108930685959761,0.42763345328724034,0.43420393578506361,0.38482900050778551,0.42819342518889753,0.35626827438509495,0.35516946811381028,0.40954195069003613,0.35455279579007243,0.35239609324728294,0.36248512177860231,0.35114987265031239,0.36720148811584452,0.37492931602652896,0.34878628450375293,0.34122217087749457,0.33939276843804045,0.34252786767802473,0.33846127121100278,0.3155407182161028,0.32375067350516284,0.31339558692767827,0.31041592629019404,0.31123215911441499,0.30442379301642386,0.30041486167012132,0.29700978946590401,0.29643153884847256,0.28951492747411939
prosociality proportions:,2,0.45,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.55,0.5769230769230769,0.5714285714285714,0.5476190476190477,0.5217391304347826,0.5862068965517241,0.6428571428571429,0.6559139784946236,0.65,0.6688311688311688,0.6871794871794872,0.694980694980695,0.6954022988505747,0.6941431670281996,0.7048903878583473,0.7269279393173198,0.732824427480916,0.7413666421748715,0.75,0.7576142131979695,0.7653061224489796,0.769528415961306,0.7786796536796536,0.7875472717450027,0.7952945907902674,0.8012945958151437,0.8075096384868973,0.8131535269709543,0.8176411073979827,0.8234785182486738,0.8286847901010407
population counts:,2,0.45,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,20,26,35,42,46,58,70,93,120,154,195,259,348,461,593,791,1048,1361,1788,2364,3136,4135,5544,7404,9946,13286,17897,24100,32617,43921,59481
groups counts:,2,0.45,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,10,13,17,21,23,29,35,46,60,77,97,129,174,230,296,395,524,680,894,1182,1568,2067,2772,3702,4973,6643,8948,12050,16308,21960,29740
standard deviations in prosocial proportions,2,0.45,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.34999999999999998,0.38086970002228021,0.32808366141715878,0.31666666666666665,0.42619949027379406,0.40195102419366979,0.36930996474190908,0.37903469074266732,0.33291640592396959,0.38086619255692683,0.36836661383919961,0.35050719311622591,0.35441648529969166,0.35287771863638384,0.36076791072805625,0.34103177111711708,0.34285348351595224,0.33773442596759384,0.34004704240950862,0.32818331935194617,0.32205559185989907,0.32250729228923442,0.32062909816539775,0.31147508501734111,0.31089696893178392,0.30286355280969662,0.29989187276089307,0.29505821438057372,0.2917462755938921,0.28980623256179749,0.2841978380148264
prosociality proportions:,2,0.5,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.55,0.5185185185185185,0.5,0.45454545454545453,0.45098039215686275,0.5079365079365079,0.5119047619047619,0.5849056603773585,0.6223776223776224,0.6388888888888888,0.6753246753246753,0.7058823529411765,0.7174447174447175,0.7342007434944238,0.7493224932249323,0.7604485219164119,0.7830964846671653,0.795068493150685,0.8049070043529878,0.8071182548794489,0.8079538429837214,0.81356182597134,0.8211857203569911,0.8268033409263478,0.8327892044836217,0.8385639747683202,0.8423294268296078,0.8455493755072149,0.8495564022889923,0.8529946278433487,0.8576646986365374
population counts:,2,0.5,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,20,27,36,44,51,63,84,106,143,180,231,306,407,538,738,981,1337,1825,2527,3484,4853,6769,9412,13170,18378,25682,35923,50521,71123,100146,141258
groups counts:,2,0.5,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,10,13,18,22,25,31,42,53,71,90,115,153,203,269,369,490,668,912,1263,1742,2426,3384,4706,6585,9189,12841,17961,25260,35561,50073,70629
standard deviations in prosocial proportions,2,0.5,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.26925824035672524,0.36004114991154779,0.28867513459481287,0.39626354032187933,0.39747466725706071,0.33314809667922107,0.4293973523064627,0.39691860462596723,0.38542022888590982,0.38026144352550229,0.37602668866161781,0.3462395682799112,0.34480651131052203,0.34714362616316785,0.32530981266725006,0.34159906449858102,0.32253705333851451,0.31166331300120997,0.30125018717256458,0.29991553885631067,0.29975810952104565,0.2976282270130533,0.29036730394933696,0.28617104191730586,0.28143079531817827,0.2754024419009744,0.27335142668811957,0.27150657029064695,0.26792293609888712,0.26605159046869603,0.2607512355231919
prosociality proportions:,3,0.0,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.5333333333333333,0.5172413793103449,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.48148148148148145,0.48148148148148145,0.48148148148148145,0.48148148148148145,0.48148148148148145,0.48148148148148145,0.48148148148148145,0.48148148148148145,0.48148148148148145,0.46153846153846156,0.46153846153846156,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44
population counts:,3,0.0,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,30,29,28,28,28,28,28,28,28,27,27,27,27,27,27,27,27,27,26,26,25,25,25,25,25,25,25,25,25,25,25
groups counts:,3,0.0,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8
standard deviations in prosocial proportions,3,0.0,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.26666666666666666,0.34089725358236606,0.17179606773406919,0.23935677693908453,0.23844839879707494,0.3736956482219187,0.38414768572053698,0.31732387941099616,0.43650680916160339,0.38414768572053692,0.34548174899535417,0.38414768572053698,0.3673998351780916,0.2899877272307303,0.24650332429581734,0.37902927913875528,0.33447071579171506,0.41339864235384227,0.37485529615513713,0.37485529615513713,0.36264364969852525,0.27559909490256151,0.33071891388307384,0.29148059540902549,0.33071891388307384,0.23913000590102074,0.40705049338708177,0.33071891388307378,0.37485529615513713,0.33576586377679574,0.41023684723990034
prosociality proportions:,3,0.05,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.5333333333333333,0.5161290322580645,0.5151515151515151,0.5294117647058824,0.5151515151515151,0.5294117647058824,0.5294117647058824,0.5263157894736842,0.5263157894736842,0.5,0.5,0.5,0.4864864864864865,0.4722222222222222,0.43243243243243246,0.4,0.4,0.4,0.4,0.37142857142857144,0.3611111111111111,0.3611111111111111,0.35135135135135137,0.35135135135135137,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.32432432432432434,0.32432432432432434,0.2972972972972973,0.3076923076923077
population counts:,3,0.05,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,30,31,33,34,33,34,34,38,38,38,38,38,37,36,37,35,35,35,35,35,36,36,37,37,36,36,36,37,37,37,39
groups counts:,3,0.05,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,10,10,11,11,11,11,11,12,12,12,12,12,12,12,12,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,13
standard deviations in prosocial proportions,3,0.05,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.22110831935702666,0.37647856660255058,0.38559117670864246,0.38151743807531985,0.40560311745459859,0.34003676271838607,0.43493294502332963,0.34770799353111237,0.31518904771972828,0.32356938214504843,0.31518904771972822,0.28959249252768116,0.29356196372011462,0.34583054438857591,0.34548174899535417,0.39791121287711073,0.37267799624996495,0.34721111093332763,0.33008837200563929,0.25344843876242584,0.41851442148109341,0.37164133778499031,0.37287204885163322,0.31936895243241437,0.23570226039551584,0.27216552697590868,0.3042903097250923,0.36004114991154784,0.36004114991154784,0.31815864413764744,0.29290412095782142
prosociality proportions:,3,0.1,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.5333333333333333,0.5483870967741935,0.53125,0.5454545454545454,0.5454545454545454,0.5294117647058824,0.5428571428571428,0.5555555555555556,0.5675675675675675,0.5789473684210527,0.5555555555555556,0.5526315789473685,0.5384615384615384,0.5384615384615384,0.55,0.5581395348837209,0.5319148936170213,0.5416666666666666,0.56,0.5925925925925926,0.5789473684210527,0.5636363636363636,0.576271186440678,0.5806451612903226,0.578125,0.5652173913043478,0.5694444444444444,0.581081081081081,0.5949367088607594,0.5949367088607594,0.6
population counts:,3,0.1,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,30,31,32,33,33,34,35,36,37,38,36,38,39,39,40,43,47,48,50,54,57,55,59,62,64,69,72,74,79,79,85
groups counts:,3,0.1,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,10,10,10,11,11,11,11,12,12,12,12,12,13,13,13,14,15,16,16,18,19,18,19,20,21,23,24,24,26,26,28
standard deviations in prosocial proportions,3,0.1,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.30550504633038933,0.33374973990834639,0.4085883557377088,0.348010216963685,0.36362373715452379,0.29154759474226505,0.34600899153377823,0.39283710065919308,0.28353410642491111,0.3107978333416701,0.39283710065919308,0.34105636549468538,0.36720289073339685,0.34770799353111237,0.26233092732672364,0.34338583575847514,0.39555351728181309,0.37034143405481623,0.37118282922076734,0.34346735168502612,0.39370910417535737,0.36489000917107467,0.35669185711589302,0.31565078277531111,0.31344302158092108,0.40819556904691129,0.33992328473667827,0.35026445035884701,0.34900593783155481,0.34900593783155481,0.36122419954316587
prosociality proportions:,3,0.15,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.5333333333333333,0.5757575757575758,0.5833333333333334,0.5897435897435898,0.6190476190476191,0.5952380952380952,0.6046511627906976,0.6136363636363636,0.6086956521739131,0.6037735849056604,0.625,0.6271186440677966,0.6229508196721312,0.5909090909090909,0.5882352941176471,0.6056338028169014,0.6052631578947368,0.5977011494252874,0.5955056179775281,0.625,0.6407766990291263,0.6576576576576577,0.6495726495726496,0.6532258064516129,0.6567164179104478,0.6595744680851063,0.6602564102564102,0.6566265060240963,0.6534090909090909,0.6702127659574468,0.685
population counts:,3,0.15,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,30,33,36,39,42,42,43,44,46,53,56,59,61,66,68,71,76,87,89,96,103,111,117,124,134,141,156,166,176,188,200
groups counts:,3,0.15,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,10,11,12,13,14,14,14,14,15,17,18,19,20,22,22,23,25,29,29,32,34,37,39,41,44,47,52,55,58,62,66
standard deviations in prosocial proportions,3,0.15,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.33993463423951903,0.29918871785027068,0.41107357185968729,0.31334761590773552,0.35315230890931726,0.38169570337812853,0.28898181176043702,0.35857846385307224,0.40177469120681442,0.33834128685232739,0.31457643480294789,0.32867109906108977,0.30101102785261691,0.36142001339019886,0.3717528529207666,0.33180174997365985,0.3204806563277211,0.32322853603593932,0.36712247488355421,0.32004773949452536,0.33365757010277719,0.3246275036375843,0.30500594124059138,0.31852524756027323,0.32383040765207671,0.3126876668172669,0.34275395859730384,0.32932257858849517,0.33374182263378982,0.29707645897409457,0.31479680893429135
