dependent vars,target group size,extra reproduction probability,cost of prosociality,reproduction type,prosocial phenotype,number of rounds,base reproduction rate,base reproduction probability,prosociality type,migration type,seed proportion prosocial,mutation rate,placeholder 1,placeholder 2,placeholder 3,placeholder 4,placeholder 5,starting state,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11,Round 12,Round 13,Round 14,Round 15,Round 16,Round 17,Round 18,Round 19,Round 20,Round 21,Round 22,Round 23,Round 24,Round 25,Round 26,Round 27,Round 28,Round 29,Round 30
standard deviations in prosocial proportions,2,0.1,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,0.26925824035672524,0.41533119314590372,0.27080128015453203,0.34999999999999998,0.28747978728803447,0.31854236426710059,0.38330638305071268,0.26646935501059654,0.25753937681885641,0.3758965096154035,0.2983324782414683,0.35174492149271802,0.19379548328690124,0.38713891978187437,0.3736956482219187,0.37894408019779779,0.34187442694436654,0.38247861182610116,0.32014539633148525,0.35889951834173311,0.3105649968749708,0.33551242466654518,0.44721359549995793,0.36108930685959761,0.40824829046386302,0.31899247380950457,0.39864612475523847,0.34265479471121418,0.37570663874233273,0.38461538461538458,0.33645435145387098
prosociality proportions:,2,0.15,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,0.55,0.5909090909090909,0.6153846153846154,0.6428571428571429,0.6,0.6129032258064516,0.625,0.6060606060606061,0.6060606060606061,0.6060606060606061,0.6216216216216216,0.6511627906976745,0.6739130434782609,0.7058823529411765,0.7413793103448276,0.7540983606557377,0.7571428571428571,0.782051282051282,0.775,0.8021978021978022,0.8,0.8113207547169812,0.8260869565217391,0.8346456692913385,0.8450704225352113,0.8525641025641025,0.8518518518518519,0.8663101604278075,0.8634146341463415,0.8701298701298701,0.8690476190476191
population counts:,2,0.15,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,20,22,26,28,30,31,32,33,33,33,37,43,46,51,58,61,70,78,80,91,95,106,115,127,142,156,162,187,205,231,252
groups counts:,2,0.15,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,10,11,13,14,15,15,16,16,16,16,18,21,23,25,29,30,35,39,40,45,47,53,57,63,71,78,81,93,102,115,126
standard deviations in prosocial proportions,2,0.15,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,0.34999999999999998,0.28747978728803447,0.39970403251589481,0.29450754468697576,0.37416573867739417,0.1987615979999813,0.27950849718747373,0.33705603515340488,0.36309218870694532,0.26269833776913526,0.31331341325349316,0.27170226616863002,0.28008910275489401,0.29257477676655591,0.24985132321016273,0.24620577562400375,0.32450904833144423,0.29515037008259842,0.27271780286589287,0.30823182624538048,0.2486824594650601,0.27858156717421512,0.27291840677375517,0.25197631533948484,0.25989636742599914,0.26685459354485441,0.24145194093343145,0.22167234546331505,0.27257723087172236,0.22742081444560036,0.21983553943594508
prosociality proportions:,2,0.2,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,0.55,0.55,0.5909090909090909,0.6296296296296297,0.6333333333333333,0.6129032258064516,0.6470588235294118,0.65,0.6818181818181818,0.7,0.6909090909090909,0.6779661016949152,0.7246376811594203,0.7162162162162162,0.735632183908046,0.7525773195876289,0.7714285714285715,0.7950819672131147,0.8059701492537313,0.8205128205128205,0.8156424581005587,0.8269230769230769,0.8264462809917356,0.8409893992932862,0.8495297805642633,0.8661202185792349,0.8732057416267942,0.8804123711340206,0.8892794376098418,0.9013657056145675,0.9137254901960784
population counts:,2,0.2,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,20,20,22,27,30,31,34,40,44,50,55,59,69,74,87,97,105,122,134,156,179,208,242,283,319,366,418,485,569,659,765
groups counts:,2,0.2,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,10,10,11,13,15,15,17,20,22,25,27,29,34,37,43,48,52,61,67,78,89,104,121,141,159,183,209,242,284,329,382
standard deviations in prosocial proportions,2,0.2,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,0.34999999999999998,0.34999999999999998,0.41659779045053097,0.31246301556292161,0.33993463423951903,0.29481109247603554,0.28515763867154875,0.32015621187164245,0.35501134890484792,0.28284271247461901,0.33549822819015285,0.42737913661099325,0.27380862830919495,0.29729729729729737,0.29232104860410546,0.30618621784789724,0.26560052532563722,0.26203880923189804,0.28592901583086594,0.27705362544838857,0.2637459459394495,0.27534271275531447,0.24655262628390576,0.26057329134701579,0.24980159490364712,0.23919200686600317,0.24347909092616127,0.21822720539687429,0.22794367023942949,0.21380553671816382,0.19582831632738265
prosociality proportions:,2,0.25,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,0.55,0.6086956521739131,0.5652173913043478,0.6071428571428571,0.6571428571428571,0.6829268292682927,0.7142857142857143,0.7457627118644068,0.7536231884057971,0.7530864197530864,0.7526881720430108,0.7614678899082569,0.7819548872180451,0.8076923076923077,0.8296703296703297,0.8403755868544601,0.859375,0.8627450980392157,0.8712328767123287,0.8735632183908046,0.8882575757575758,0.8962264150943396,0.9018324607329843,0.9083063646170443,0.9160649819494585,0.9239940387481371,0.9301606922126081,0.9361483007209063,0.9422164726175075,0.9447415329768271,0.9505770938147381
population counts:,2,0.25,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,20,23,23,28,35,41,49,59,69,81,93,109,133,156,182,213,256,306,365,435,528,636,764,927,1108,1342,1618,1942,2319,2805,3379
groups counts:,2,0.25,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,10,11,11,14,17,20,24,29,34,40,46,54,66,78,91,106,128,153,182,217,264,318,382,463,554,671,809,971,1159,1402,1689
standard deviations in prosocial proportions,2,0.25,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,0.34999999999999998,0.28668012012764393,0.29613364069230402,0.38630906522828456,0.33275613232308121,0.3244653722321964,0.32004773949452531,0.24985132321016273,0.30042261658910907,0.27876214472796218,0.27519541089504707,0.32804736536308032,0.31378231448503169,0.28000422651078916,0.27951862290059126,0.26040413224848213,0.22480460265528374,0.23034000244060254,0.2250233118651124,0.23774068045935701,0.2339839291688097,0.20277533264344036,0.21138236908977917,0.20705072935130653,0.19629704550342864,0.18960974894350441,0.1751004624581092,0.17144564536559731,0.16649156787001743,0.16320929665234823,0.15389080483542611
prosociality proportions:,2,0.3,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,0.55,0.56,0.5384615384615384,0.5666666666666667,0.59375,0.6052631578947368,0.6521739130434783,0.7166666666666667,0.7121212121212122,0.7439024390243902,0.75,0.7647058823529411,0.7671232876712328,0.7754010695187166,0.7982456140350878,0.8140350877192982,0.8275862068965517,0.8400954653937948,0.8466257668711656,0.8494077834179357,0.8631436314363143,0.8726256983240224,0.8835978835978836,0.8962131837307152,0.9051580698835274,0.9153812252093433,0.9253212921153178,0.9337031900138696,0.9406352683461118,0.9473775616533519,0.9524662441443924
population counts:,2,0.3,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,20,25,26,30,32,38,46,60,66,82,100,119,146,187,228,285,348,419,489,591,738,895,1134,1426,1803,2269,2879,3605,4565,5758,7258
groups counts:,2,0.3,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,10,12,13,15,16,19,23,30,33,41,50,59,73,93,114,142,174,209,244,295,369,447,567,713,901,1134,1439,1802,2282,2879,3629
standard deviations in prosocial proportions,2,0.3,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,0.26925824035672524,0.28429846514526003,0.36487819155788992,0.24944382578492946,0.31715286140913185,0.38316367838318521,0.37401414204533157,0.30776975521032313,0.3263736246748184,0.29470843838035543,0.30413812651491096,0.30856975829200844,0.31056942599327764,0.33108076133059455,0.27877629091352113,0.27584157354484351,0.27151751289695897,0.2749057255136273,0.24783224369693294,0.25734819870147196,0.25149285112455677,0.23041419578673347,0.22347843472955425,0.21454729270712419,0.20974196658117933,0.19330280700668326,0.18494265865433893,0.17362961613122577,0.16510204051249688,0.15734610910846966,0.15082251491201004
prosociality proportions:,2,0.35,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,0.55,0.5833333333333334,0.6296296296296297,0.6071428571428571,0.6,0.6216216216216216,0.6744186046511628,0.7321428571428571,0.7424242424242424,0.7682926829268293,0.8,0.819672131147541,0.8481012658227848,0.86,0.8823529411764706,0.8909090909090909,0.9030732860520094,0.9159212880143113,0.9212376933895922,0.9317443120260022,0.9400656814449918,0.9479695431472082,0.9539282250242483,0.9583025830258303,0.9620958751393534,0.966044142614601,0.9706167258637391,0.9736045526092747,0.9771423367635006,0.9802246261972025,0.9819627819939702
population counts:,2,0.35,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,20,24,27,28,30,37,43,56,66,82,100,122,158,200,255,330,423,559,711,923,1218,1576,2062,2710,3588,4712,6194,8259,10981,14513,19238
groups counts:,2,0.35,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,10,12,13,14,15,18,21,28,33,41,50,61,79,100,127,165,211,279,355,461,609,788,1031,1355,1794,2356,3097,4129,5490,7256,9619
standard deviations in prosocial proportions,2,0.35,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,0.34999999999999998,0.39965262694272663,0.39846846840820649,0.33692789757345015,0.37416573867739417,0.31331341325349316,0.35439862796454141,0.24936142935301683,0.32847702104058785,0.31424631040792989,0.31622776601683794,0.25659796463112339,0.26807365296895397,0.24576411454889011,0.22145450567598796,0.22745447278539641,0.19783536933404552,0.19186510829577422,0.19985116461610378,0.17487283190392483,0.17221820166997559,0.15677083759130914,0.14792975070354245,0.14347839093366882,0.13546756124699966,0.12663787960393477,0.12030813153696961,0.11448976792134609,0.10659586277426862,0.099205803198436901,0.094070235120702159
prosociality proportions:,2,0.4,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,0.55,0.5416666666666666,0.5862068965517241,0.6060606060606061,0.6341463414634146,0.673469387755102,0.7096774193548387,0.72,0.7684210526315789,0.8064516129032258,0.8375,0.8454106280193237,0.862453531598513,0.8851540616246498,0.9008620689655172,0.9173166926677067,0.9296600234466589,0.9409751924721984,0.9515527950310559,0.9572020248504371,0.9619143916413886,0.9672090729783037,0.9714955800108245,0.9759621699724156,0.9792364367046216,0.9815433904443516,0.9840752989061308,0.9859745463990205,0.987839076740549,0.9896158650843223,0.9909960926439776
population counts:,2,0.4,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,20,24,29,33,41,49,62,75,95,124,160,207,269,357,464,641,853,1169,1610,2173,2967,4056,5543,7613,10451,14358,19655,26951,37086,51232,70636
groups counts:,2,0.4,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,10,12,14,16,20,24,31,37,47,62,80,103,134,178,232,320,426,584,805,1086,1483,2028,2771,3806,5225,7179,9827,13475,18543,25616,35318
standard deviations in prosocial proportions,2,0.4,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,0.34999999999999998,0.24650332429581734,0.39195422936081731,0.31663925319938879,0.38224483137265719,0.31663925319938885,0.35410481290484108,0.29729729729729737,0.33975998771641092,0.27466752203107098,0.25950674365033366,0.24164812552725523,0.22197921169892143,0.2170932195544534,0.20988325558516985,0.19409621285267264,0.17727279278061642,0.16916343664076938,0.14999196254330271,0.14114219673545983,0.13517411569989307,0.12575100501725112,0.11748560343412563,0.10939840461202674,0.10023602557355993,0.095740527857590199,0.088379263503332153,0.082785051893449826,0.077372490469504632,0.071713278768105362,0.067019913201407766
prosociality proportions:,2,0.45,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,0.55,0.6206896551724138,0.6111111111111112,0.625,0.65,0.6707317073170732,0.6952380952380952,0.7333333333333333,0.7593582887700535,0.8007968127490039,0.8272727272727273,0.8421052631578947,0.8623063683304647,0.8811013767209012,0.8988149498632635,0.9091507570770243,0.9190588235294118,0.9327505043712172,0.9416304872165943,0.9487527575089089,0.9550072568940493,0.9615086540945492,0.9671209435922508,0.972143042238922,0.9758189615840861,0.9795168292997464,0.9824314295666924,0.984944566211989,0.9871974902898117,0.9889407019976054,0.990587170744088
population counts:,2,0.45,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,20,29,36,48,60,82,105,135,187,251,330,437,581,799,1097,1519,2125,2974,4146,5893,8268,11613,16363,23154,32877,46526,66027,93986,133880,190428,271863
groups counts:,2,0.45,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,10,14,18,24,30,41,52,67,93,125,165,218,290,399,548,759,1062,1487,2073,2946,4134,5806,8181,11577,16438,23263,33013,46993,66940,95214,135931
standard deviations in prosocial proportions,2,0.45,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,0.41533119314590372,0.30327950482992844,0.26643508462848442,0.29755951785595208,0.29297326385411576,0.28391333480055647,0.35464131670019516,0.290757608041465,0.29780395513455832,0.29664793948382651,0.26773203164983805,0.25647197892513912,0.2448768230669453,0.23744653600865387,0.21199911272114996,0.20445393941647425,0.19416095392836583,0.1735252015889838,0.16645518027281847,0.15607232928718048,0.14559434750604827,0.13608394226054144,0.12613256301998951,0.11618081355902742,0.10909424371900417,0.099969855139480646,0.092964268828403016,0.0861283316647488,0.079212988063925904,0.07385528340049019,0.068386280218859882
prosociality proportions:,2,0.5,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,0.55,0.6,0.625,0.6190476190476191,0.6538461538461539,0.6617647058823529,0.7011494252873564,0.7433628318584071,0.7870967741935484,0.8380952380952381,0.8737541528239202,0.8953771289537713,0.9161073825503355,0.9295612009237876,0.9374505146476643,0.9439303211758302,0.9538862030494608,0.9619537275064267,0.969389539968515,0.9734722880151587,0.9773897650466689,0.9806903342267929,0.9842306407925494,0.9863847992953316,0.9885273650554824,0.9902030203484661,0.9917782162030451,0.9930075516312162,0.99398032222981,0.9949814067239358,0.9957707249381506
population counts:,2,0.5,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,20,25,32,42,52,68,87,113,155,210,301,411,596,866,1263,1837,2689,3890,5717,8444,12428,18281,26951,39735,58487,86149,127223,187774,276759,408481,603886
groups counts:,2,0.5,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,10,12,16,21,26,34,43,56,77,105,150,205,298,433,631,918,1344,1945,2858,4222,6214,9140,13475,19867,29243,43074,63611,93887,138379,204240,301943
standard deviations in prosocial proportions,2,0.5,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,0.41533119314590372,0.27603620714377486,0.27950849718747373,0.37495275590532429,0.33308669376324562,0.35811163711429178,0.3076455012865803,0.30209432891083987,0.29529394807537851,0.28026550418213642,0.23935097428021657,0.20825707507753313,0.19985468348091409,0.18363544961707026,0.16729066441384025,0.16784173600204186,0.14437969838683015,0.13545045449297127,0.12114225256466257,0.11468335937485884,0.10466528407829587,0.096911641471246576,0.088020442400222318,0.081994256582143099,0.07497924918154325,0.069718027089158807,0.063895436444491652,0.058985448678222585,0.054663205524310206,0.050012529241915404,0.045862561312178807
prosociality proportions:,3,0.0,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.48148148148148145,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667
population counts:,3,0.0,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,30,30,30,30,27,26,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24
groups counts:,3,0.0,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,10,10,10,10,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
standard deviations in prosocial proportions,3,0.0,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,0.30550504633038933,0.26666666666666666,0.26666666666666666,0.30550504633038933,0.27715980642769933,0.16103775868479486,0.3331705331608224,0.30046260628866578,0.27559909490256151,0.33576586377679574,0.399109251263917,0.37485529615513707,0.21949278651776538,0.23913000590102074,0.29148059540902549,0.29148059540902549,0.29148059540902549,0.29148059540902549,0.32207551736958973,0.27559909490256151,0.2856522750167102,0.23913000590102074,0.29148059540902549,0.14282613750835507,0.28697869404074816,0.28697869404074816,0.17147997534535758,0.14433756729740643,0.22047927592204919,0.22047927592204919,0.3227486121839514
prosociality proportions:,3,0.05,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,0.5333333333333333,0.5172413793103449,0.5172413793103449,0.5172413793103449,0.5172413793103449,0.4838709677419355,0.46875,0.4375,0.4375,0.4375,0.4375,0.45454545454545453,0.45454545454545453,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.45714285714285713,0.45714285714285713,0.47368421052631576,0.475,0.4634146341463415,0.4523809523809524,0.4418604651162791,0.4222222222222222
population counts:,3,0.05,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,30,29,29,29,29,31,32,32,32,32,32,33,33,34,34,34,33,33,33,34,34,34,34,35,35,38,40,41,42,43,45
groups counts:,3,0.05,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,10,9,9,9,9,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,13,13,14,14,15
standard deviations in prosocial proportions,3,0.05,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,0.30550504633038933,0.24251483062423695,0.24532669073132907,0.14581496062984836,0.28327886186626583,0.31191612120354834,0.20816659994661327,0.27335365778094539,0.22376202636829254,0.31012990109880662,0.32702361450580969,0.29379877923735326,0.3263736246748184,0.25443720642040402,0.3559800037718403,0.26612375864015603,0.3559800037718403,0.25712973861328997,0.2937987792373532,0.33212591237549954,0.32425658422776815,0.26612375864015597,0.30170163260211935,0.25957335907593659,0.20214642521403536,0.28758721167845352,0.33895651452313558,0.30769230769230771,0.32384453592227253,0.29910344110478837,0.22662308949301266
prosociality proportions:,3,0.1,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,0.5333333333333333,0.5,0.5172413793103449,0.5,0.5161290322580645,0.5161290322580645,0.5833333333333334,0.5789473684210527,0.5952380952380952,0.5813953488372093,0.6,0.5576923076923077,0.5490196078431373,0.5384615384615384,0.5471698113207547,0.543859649122807,0.5573770491803278,0.5846153846153846,0.5692307692307692,0.5942028985507246,0.5945945945945946,0.5974025974025974,0.6097560975609756,0.6144578313253012,0.6190476190476191,0.611764705882353,0.6179775280898876,0.6129032258064516,0.6185567010309279,0.6082474226804123,0.5728155339805825
population counts:,3,0.1,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,30,28,29,28,31,31,36,38,42,43,45,52,51,52,53,57,61,65,65,69,74,77,82,83,84,85,89,93,97,97,103
groups counts:,3,0.1,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,10,9,9,9,10,10,12,12,14,14,15,17,17,17,17,19,20,21,21,23,24,25,27,27,28,28,29,31,32,32,34
standard deviations in prosocial proportions,3,0.1,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,0.22110831935702666,0.31426968052735449,0.31426968052735449,0.31426968052735449,0.17499999999999999,0.31280540631872433,0.33678765702728169,0.24404560265007749,0.13677530110804828,0.31339158526400435,0.21773242158072698,0.27380862830919495,0.27867981183435092,0.29994232432898732,0.32846795230884224,0.29040255012713767,0.28489154856619464,0.17817416127494956,0.27447010263159655,0.23989775880067893,0.25449280835845411,0.28771127502720117,0.26835882863313776,0.24768398330541827,0.31765866819348415,0.31827153298321065,0.27212507130463714,0.26903217211175923,0.27862149426412208,0.25210700646418643,0.31620496907588508
prosociality proportions:,3,0.15,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,0.5333333333333333,0.5454545454545454,0.5454545454545454,0.5428571428571428,0.5135135135135135,0.5128205128205128,0.5,0.4634146341463415,0.4883720930232558,0.45454545454545453,0.46808510638297873,0.46153846153846156,0.43859649122807015,0.46774193548387094,0.48484848484848486,0.4925373134328358,0.4782608695652174,0.47368421052631576,0.46153846153846156,0.46987951807228917,0.4827586206896552,0.4606741573033708,0.4782608695652174,0.4948453608247423,0.49514563106796117,0.4953271028037383,0.5454545454545454,0.5639097744360902,0.5704225352112676,0.5909090909090909,0.6130952380952381
population counts:,3,0.15,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,30,33,33,35,37,39,40,41,43,44,47,52,57,62,66,67,69,76,78,83,87,89,92,97,103,107,121,133,142,154,168
groups counts:,3,0.15,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,10,11,11,11,12,13,13,13,14,14,15,17,19,20,22,22,23,25,26,27,29,29,30,32,34,35,40,44,47,51,56
standard deviations in prosocial proportions,3,0.15,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,0.26666666666666666,0.32637362467481845,0.21427478217774168,0.27125020893891144,0.26011556667122282,0.28088336282316206,0.24459979523511427,0.25657046277166023,0.30612835406247119,0.24142023560325293,0.25962936545662052,0.23241705080646469,0.21771357273668168,0.28924590653014337,0.29690784761008215,0.28236851609148311,0.25681224850245432,0.30140412147886175,0.3343180720616743,0.29497519264124361,0.2068965517241379,0.28330477112336178,0.28192733938261122,0.30225165928112696,0.30676445522270257,0.29479613617678557,0.29341736485763753,0.23444338228013498,0.31525401074878412,0.30733726110395693,0.25021249472599644
