dependent vars,target group size,extra reproduction probability,cost of prosociality,reproduction type,prosocial phenotype,number of rounds,base reproduction rate,base reproduction probability,prosociality type,migration type,seed proportion prosocial,mutation rate,placeholder 1,placeholder 2,placeholder 3,placeholder 4,placeholder 5,starting state,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11,Round 12,Round 13,Round 14,Round 15,Round 16,Round 17,Round 18,Round 19,Round 20,Round 21,Round 22,Round 23,Round 24,Round 25,Round 26,Round 27,Round 28,Round 29,Round 30
groups counts:,2,0.1,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,10,10,10,11,11,11,11,12,12,12,12,13,14,14,14,14,14,14,15,16,17,17,20,21,22,22,23,23,25,27,29
standard deviations in prosocial proportions,2,0.1,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,0.26925824035672524,0.27688746209726917,0.22912878474779202,0.3692744729379982,0.21320071635561044,0.37236987052862142,0.29613364069230397,0.37960139913101248,0.32004773949452536,0.32004773949452536,0.37960139913101248,0.41424344670265417,0.32732683535398854,0.3779644730092272,0.32732683535398854,0.3779644730092272,0.35174492149271802,0.29666513796135979,0.40824829046386302,0.30618621784789724,0.26956327617387299,0.34187442694436659,0.36996621467371854,0.36334994102411422,0.30151134457776363,0.42640143271122088,0.31201521944363747,0.34722169712205625,0.32903900478008175,0.33344762558196311,0.36074378911437277
prosociality proportions:,2,0.15,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,0.55,0.55,0.5454545454545454,0.5925925925925926,0.6129032258064516,0.6060606060606061,0.5897435897435898,0.6046511627906976,0.5869565217391305,0.6041666666666666,0.5918367346938775,0.6,0.5882352941176471,0.6037735849056604,0.5925925925925926,0.5932203389830508,0.5373134328358209,0.5277777777777778,0.5263157894736842,0.5375,0.5238095238095238,0.5227272727272727,0.4895833333333333,0.4854368932038835,0.48623853211009177,0.48717948717948717,0.48,0.47794117647058826,0.48951048951048953,0.48322147651006714,0.48125
population counts:,2,0.15,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,20,20,22,27,31,33,39,43,46,48,49,50,51,53,54,59,67,72,76,80,84,88,96,103,109,117,125,136,143,149,160
groups counts:,2,0.15,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,10,10,11,13,15,16,19,21,23,24,24,25,25,26,27,29,33,36,38,40,42,44,48,51,54,58,62,68,71,74,80
standard deviations in prosocial proportions,2,0.15,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,0.34999999999999998,0.34999999999999998,0.44997704257325749,0.33085866411702414,0.29481109247603554,0.31663925319938885,0.31211310306416135,0.29311405258126011,0.40786223998464605,0.28792239502260947,0.31172744010365888,0.34641016151377546,0.39191835884530851,0.31035175479256932,0.33436055713458868,0.33481636008343696,0.3559800037718403,0.35246048723470885,0.34311591606329728,0.37728470681966425,0.34421029273335618,0.31899247380950457,0.33055482609630066,0.35739145397365535,0.36042458746526257,0.34165204477475519,0.31747755680526069,0.34761607804625916,0.38950163168166269,0.38531290349684461,0.33951942138852675
prosociality proportions:,2,0.2,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,0.55,0.5909090909090909,0.5416666666666666,0.5384615384615384,0.48148148148148145,0.5172413793103449,0.5161290322580645,0.53125,0.5151515151515151,0.5,0.47058823529411764,0.4864864864864865,0.5238095238095238,0.48936170212765956,0.5098039215686274,0.49122807017543857,0.484375,0.5,0.4864864864864865,0.5,0.5,0.5,0.5277777777777778,0.49137931034482757,0.48854961832061067,0.46808510638297873,0.46206896551724136,0.42857142857142855,0.43352601156069365,0.43478260869565216,0.43564356435643564
population counts:,2,0.2,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,20,22,24,26,27,29,31,32,33,32,34,37,42,47,51,57,64,68,74,82,88,96,108,116,131,141,145,161,173,184,202
groups counts:,2,0.2,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,10,11,12,13,13,14,15,16,16,16,17,18,21,23,25,28,32,34,37,41,44,48,54,58,65,70,72,80,86,92,101
standard deviations in prosocial proportions,2,0.2,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,0.47169905660283018,0.28747978728803447,0.32004773949452536,0.30769230769230771,0.39473857226514492,0.38039393592072518,0.41035967361376413,0.3736956482219187,0.39733814839084686,0.35355339059327379,0.36261258840993982,0.35524677950464589,0.28769157079987079,0.34722169712205631,0.33306655991458123,0.3287848685628923,0.36409938117909513,0.34299717028501769,0.35804435944572355,0.3662599370166148,0.30151134457776363,0.35355339059327379,0.33907098932593616,0.3883139872260416,0.36733845577530705,0.35778513675337698,0.36664796061524685,0.37165171868296265,0.35598301197306115,0.36278954931040519,0.35643564356435642
prosociality proportions:,2,0.25,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,0.55,0.6086956521739131,0.625,0.6071428571428571,0.6285714285714286,0.6578947368421053,0.6888888888888889,0.6981132075471698,0.6896551724137931,0.7230769230769231,0.7215189873417721,0.7204301075268817,0.6818181818181818,0.6793893129770993,0.6554054054054054,0.627906976744186,0.6354679802955665,0.6519823788546255,0.6431226765799256,0.630718954248366,0.6344086021505376,0.6322115384615384,0.6305732484076433,0.6252252252252253,0.6162246489859594,0.6101928374655647,0.5956416464891041,0.6025641025641025,0.608615948670944,0.6061093247588425,0.5977496483825597
population counts:,2,0.25,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,20,23,24,28,35,38,45,53,58,65,79,93,110,131,148,172,203,227,269,306,372,416,471,555,641,726,826,936,1091,1244,1422
groups counts:,2,0.25,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,10,11,12,14,17,19,22,26,29,32,39,46,55,65,74,86,101,113,134,153,186,208,235,277,320,363,413,468,545,622,711
standard deviations in prosocial proportions,2,0.25,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,0.41533119314590372,0.35790944881871872,0.29755951785595208,0.3369278975734501,0.40231930448398417,0.28342972669128969,0.35501134890484792,0.28981165526813629,0.33253968141355023,0.32704849867582503,0.32133796918132412,0.28840215568307825,0.32141217326661253,0.28752268869682329,0.28386420996756767,0.3251658477699898,0.33200729610453572,0.3247853251542358,0.35414359754342306,0.35133378832273882,0.34888289425607788,0.32606469606614891,0.33438343721594804,0.35010606227966673,0.34555672610276467,0.35245024462315816,0.33724476480600357,0.35378576221914437,0.3375922409775613,0.33305751211475676,0.34054725428554478
prosociality proportions:,2,0.3,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,0.55,0.5909090909090909,0.5357142857142857,0.5,0.4594594594594595,0.48717948717948717,0.4782608695652174,0.46296296296296297,0.46551724137931033,0.4507042253521127,0.45454545454545453,0.42528735632183906,0.43,0.4090909090909091,0.43548387096774194,0.39416058394160586,0.4088050314465409,0.4166666666666667,0.40816326530612246,0.3891402714932127,0.4032258064516129,0.3880597014925373,0.37800687285223367,0.37962962962962965,0.3708791208791209,0.35678391959798994,0.34467120181405897,0.3438818565400844,0.34705882352941175,0.35231316725978645,0.3596774193548387
population counts:,2,0.3,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,20,22,28,32,37,39,46,54,58,71,77,87,100,110,124,137,159,180,196,221,248,268,291,324,364,398,441,474,510,562,620
groups counts:,2,0.3,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,10,11,14,16,18,19,23,27,29,35,38,43,50,55,62,68,79,90,98,110,124,134,145,162,182,199,220,237,255,281,310
standard deviations in prosocial proportions,2,0.3,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,0.34999999999999998,0.28747978728803447,0.35174492149271802,0.30618621784789724,0.3718719560745038,0.39909870758166055,0.34509799709538136,0.30202789685740905,0.31977994812054156,0.37361990944634343,0.28977257296770054,0.31588552807456105,0.37429934544425802,0.37039179613569745,0.27655529354003622,0.36353914152429717,0.3575062434349412,0.30956959368344517,0.33001962507747412,0.34629085372256196,0.33406959963238675,0.32691337483297772,0.33492682928518841,0.33243190872252298,0.32913188629339962,0.34487155651806006,0.33655809284915278,0.34813322957711718,0.33743725120468948,0.35853099074038941,0.3390973204198478
prosociality proportions:,2,0.35,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,0.55,0.5652173913043478,0.5517241379310345,0.5454545454545454,0.5641025641025641,0.6170212765957447,0.6181818181818182,0.6567164179104478,0.5930232558139535,0.6057692307692307,0.616,0.5695364238410596,0.5666666666666667,0.5721153846153846,0.5743801652892562,0.5664335664335665,0.5481049562682215,0.5465393794749404,0.5269461077844312,0.5268456375838926,0.5264663805436338,0.5122249388753056,0.5137130801687764,0.5,0.4946319018404908,0.48840291583830353,0.4764070494599204,0.4635467980295567,0.4567062818336163,0.453843324751747,0.4461783439490446
population counts:,2,0.35,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,20,23,29,33,39,47,55,67,86,104,125,151,180,208,242,286,343,419,501,596,699,818,948,1122,1304,1509,1759,2030,2356,2719,3140
groups counts:,2,0.35,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,10,11,14,16,19,23,27,33,43,52,62,75,90,104,121,143,171,209,250,298,349,409,474,561,652,754,879,1015,1178,1359,1570
standard deviations in prosocial proportions,2,0.35,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,0.34999999999999998,0.36489680541794839,0.32493676342752814,0.41457809879442498,0.33905522965066121,0.32825367109872822,0.34191067713891921,0.31345698281177581,0.37750425769181228,0.35810047018338598,0.28958738053552946,0.37235321078278205,0.3666666666666667,0.36962994248125819,0.35594802425385169,0.30288682276514284,0.35571977757381074,0.34283594172085685,0.34258429619584141,0.34653236626645867,0.34594626804018702,0.36650358592769172,0.34113506543139749,0.36196138299651343,0.35405454255661228,0.34725962558507656,0.35099707170041977,0.34761854345076459,0.35360383332941742,0.35172515031645829,0.35215629678512123
prosociality proportions:,2,0.4,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,0.55,0.48148148148148145,0.41935483870967744,0.45454545454545453,0.4772727272727273,0.4528301886792453,0.4375,0.4342105263157895,0.4444444444444444,0.46078431372549017,0.42105263157894735,0.42424242424242425,0.3875,0.375,0.36936936936936937,0.3643724696356275,0.35251798561151076,0.34177215189873417,0.35492957746478876,0.33906633906633904,0.3282937365010799,0.33076923076923076,0.3232830820770519,0.31784107946026985,0.30040053404539385,0.29156626506024097,0.28104575163398693,0.28237585199610515,0.27480245829675154,0.2752808988764045,0.27496382054992763
population counts:,2,0.4,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,20,27,31,33,44,53,64,76,90,102,114,132,160,192,222,247,278,316,355,407,463,520,597,667,749,830,918,1027,1139,1246,1382
groups counts:,2,0.4,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,10,13,15,16,22,26,32,38,45,51,57,66,80,96,111,123,139,158,177,203,231,260,298,333,374,415,459,513,569,623,691
standard deviations in prosocial proportions,2,0.4,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,0.26925824035672524,0.36891011717790151,0.37940824619919716,0.35216961467452013,0.28112083811029509,0.32281226441061978,0.34798527267687634,0.32789304722045032,0.39752319599996266,0.3407479842545641,0.36018359943241768,0.3284770210405879,0.33517719194479806,0.34610932762158647,0.35962763344526261,0.33153280210106811,0.34689391226593363,0.35170744277088112,0.33661550287026781,0.32559965744870439,0.33867369906760436,0.33428365519447328,0.33105887766583103,0.32292484672568783,0.31821302343022373,0.3245775082502696,0.31741431533563602,0.31053895339824367,0.3278474491639064,0.31172724898079962,0.31999654958232437
prosociality proportions:,2,0.45,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,0.55,0.5925925925925926,0.5454545454545454,0.5121951219512195,0.52,0.4838709677419355,0.5,0.5164835164835165,0.4807692307692308,0.4609375,0.4620253164556962,0.4497354497354497,0.4188034188034188,0.4336917562724014,0.4434250764525994,0.4444444444444444,0.4316702819956616,0.44101633393829404,0.4359375,0.4351245085190039,0.43047830923248054,0.43755958055290756,0.42948717948717946,0.43398781313473256,0.434906196702672,0.43304431599229287,0.4298952457695407,0.4208924949290061,0.41692879611095224,0.4159058145122537,0.41301244136243115
population counts:,2,0.45,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,20,27,33,41,50,62,74,91,104,128,158,189,234,279,327,387,461,551,640,763,899,1049,1248,1477,1759,2076,2482,2958,3497,4162,4903
groups counts:,2,0.45,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,10,13,16,20,25,31,37,45,52,64,79,94,117,139,163,193,230,275,320,381,449,524,624,738,879,1038,1241,1479,1748,2081,2451
standard deviations in prosocial proportions,2,0.45,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,0.35000000000000003,0.26646935501059654,0.35216961467452013,0.41990408957813735,0.33105890714493702,0.36991435294128111,0.40269363312841461,0.35728744868474505,0.3094899411429054,0.33429832648960417,0.35375161044258535,0.31867577217958826,0.3752905709418829,0.36406242439354303,0.37573869933208737,0.34460827892324403,0.3637832723905286,0.34539925128979632,0.35547819355587762,0.34901119110833345,0.3711766884743643,0.34803283839303617,0.35104568128443758,0.35702114339780933,0.35102626230279926,0.34226461605058545,0.34405376711665808,0.34471222665680062,0.35433897525262725,0.35264056265470978,0.34734488214569115
prosociality proportions:,2,0.5,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,0.55,0.5,0.5333333333333333,0.5116279069767442,0.6,0.5857142857142857,0.5833333333333334,0.5922330097087378,0.5971223021582733,0.5872093023255814,0.5799086757990868,0.583941605839416,0.5777126099706745,0.5497737556561086,0.5424028268551236,0.5408450704225352,0.5382882882882883,0.5262222222222223,0.5219512195121951,0.5291504719600222,0.5193247445579743,0.5193743334518308,0.5150128681727195,0.5184510250569476,0.5059447594658862,0.5021484664394725,0.4985687022900763,0.48980573187151377,0.48319950105246745,0.47977428354045143,0.47588839032441077
population counts:,2,0.5,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,20,24,30,43,55,70,84,103,139,172,219,274,341,442,566,710,888,1125,1435,1801,2251,2813,3497,4390,5467,6749,8384,10398,12827,15772,19389
groups counts:,2,0.5,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,10,12,15,21,27,35,42,51,69,86,109,137,170,221,283,355,444,562,717,900,1125,1406,1748,2195,2733,3374,4192,5199,6413,7886,9694
standard deviations in prosocial proportions,2,0.5,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,0.34999999999999998,0.35355339059327379,0.33993463423951903,0.44923719676460017,0.33413255809195946,0.3270149469217028,0.37664980998943753,0.35891221209669055,0.34333520601413359,0.35919694398008106,0.34650490767011477,0.33943567952077142,0.33438271957838017,0.35244773488713399,0.35661921610081843,0.35068442729343113,0.33841542218247661,0.3501271192477528,0.35260132477336581,0.35199003134656037,0.36283335554459101,0.35027205917500742,0.3576845798568149,0.34284268790407496,0.35228601846037116,0.3564802907009032,0.3479394813535473,0.35070881535233428,0.3539600616742945,0.35458734240158007,0.35440952885695615
prosociality proportions:,2,0.55,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,0.55,0.4642857142857143,0.3939393939393939,0.38461538461538464,0.35555555555555557,0.3333333333333333,0.3125,0.2876712328767123,0.2558139534883721,0.2653061224489796,0.23423423423423423,0.21311475409836064,0.20149253731343283,0.20134228187919462,0.20121951219512196,0.18888888888888888,0.18041237113402062,0.20465116279069767,0.20081967213114754,0.19133574007220217,0.19112627986348124,0.190625,0.1903409090909091,0.18298969072164947,0.18620689655172415,0.18997912317327767,0.18146718146718147,0.17543859649122806,0.1720257234726688,0.17058823529411765,0.16037735849056603
population counts:,2,0.55,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,20,28,33,39,45,54,64,73,86,98,111,122,134,149,164,180,194,215,244,277,293,320,352,388,435,479,518,570,622,680,742
groups counts:,2,0.55,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,10,14,16,19,22,27,32,36,43,49,55,61,67,74,82,90,97,107,122,138,146,160,176,194,217,239,259,285,311,340,371
standard deviations in prosocial proportions,2,0.55,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,0.26925824035672524,0.29666513796135979,0.31715286140913185,0.36210118316754902,0.32141217326661253,0.27216552697590868,0.29973947020704494,0.29755951785595214,0.34728336100158319,0.2495310053191323,0.28690425160108185,0.2784473401879185,0.29999628719763854,0.28207155414709273,0.26891557403902377,0.25361582690029616,0.2976329903763309,0.28146206254907657,0.26902858085698872,0.28439144135058558,0.26983172059715355,0.28434065726694802,0.27045394862424599,0.27577319587628857,0.29738680795672184,0.27887900308758262,0.27064232527075882,0.26968513268441885,0.26321426354672428,0.25498490354933229,0.25806425979352476
prosociality proportions:,2,0.6,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,0.55,0.48,0.5,0.4594594594594595,0.45652173913043476,0.43103448275862066,0.42857142857142855,0.4431818181818182,0.42727272727272725,0.41007194244604317,0.4,0.38571428571428573,0.391304347826087,0.3954248366013072,0.3935309973045822,0.40130151843817785,0.397887323943662,0.3902439024390244,0.3870588235294118,0.3705140640155189,0.37209302325581395,0.35602094240837695,0.3494302767227347,0.34932126696832577,0.34201711946408636,0.3401360544217687,0.33900928792569657,0.3405486498071153,0.3369799139167862,0.33428614412516927,0.33085455003781195
population counts:,2,0.6,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,20,25,28,37,46,58,70,88,110,139,170,210,253,306,371,461,568,697,850,1031,1247,1528,1843,2210,2687,3234,3876,4666,5576,6647,7934
groups counts:,2,0.6,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,10,12,14,18,23,29,35,44,55,69,85,105,126,153,185,230,284,348,425,515,623,764,921,1105,1343,1617,1938,2333,2788,3323,3967
standard deviations in prosocial proportions,2,0.6,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,0.26925824035672524,0.41083887382636219,0.3779644730092272,0.35379579952857043,0.35853092396675301,0.34048995962295692,0.39897828696482684,0.32361433786132149,0.29260867162601967,0.3400053401883924,0.32358288328176632,0.3602720060833855,0.3758965096154035,0.35541375488424898,0.35782441026130274,0.33650351346868518,0.34364826225251999,0.34258095025322449,0.33282683548978637,0.35486790837124838,0.33184424694741671,0.33484837481521296,0.34072536629380457,0.32700753578739317,0.33995212530197483,0.3340362132391021,0.33904109439834018,0.33809690130396725,0.33110905050575384,0.33303075376635227,0.33436235703456069
prosociality proportions:,3,0.0,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,0.5333333333333333,0.5333333333333333,0.5172413793103449,0.5172413793103449,0.5172413793103449,0.5172413793103449,0.5172413793103449,0.5172413793103449,0.5172413793103449,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.48148148148148145,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.44,0.4166666666666667
population counts:,3,0.0,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,30,30,29,29,29,29,29,29,29,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,27,26,26,26,26,25,24
groups counts:,3,0.0,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8
standard deviations in prosocial proportions,3,0.0,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,0.26666666666666666,0.22110831935702666,0.28897197285791176,0.26579074248902451,0.32499868101452306,0.28084723866857592,0.27900961432072896,0.32499868101452301,0.16871173294711664,0.32499868101452306,0.32499868101452306,0.35136418446315326,0.23715274953454993,0.32499868101452306,0.15713484026367722,0.28448687955068919,0.32499868101452306,0.28448687955068919,0.27715980642769933,0.17762338975232295,0.27216552697590868,0.27715980642769933,0.23715274953454996,0.23715274953454996,0.16563466499998442,0.23547196990536073,0.29682930934947932,0.28697869404074816,0.41822624791426521,0.23199018178458422,0.27638539919628335
prosociality proportions:,3,0.05,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,0.5333333333333333,0.5483870967741935,0.5483870967741935,0.5483870967741935,0.5625,0.5625,0.5757575757575758,0.5714285714285714,0.5945945945945946,0.575,0.55,0.525,0.48717948717948717,0.475,0.4878048780487805,0.4878048780487805,0.47619047619047616,0.5,0.4782608695652174,0.4791666666666667,0.44680851063829785,0.43478260869565216,0.4222222222222222,0.41304347826086957,0.3958333333333333,0.3958333333333333,0.3695652173913043,0.3617021276595745,0.3541666666666667,0.3541666666666667,0.3333333333333333
population counts:,3,0.05,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,30,31,31,31,32,32,33,35,37,40,40,40,39,40,41,41,42,44,46,48,47,46,45,46,48,48,46,47,48,48,48
groups counts:,3,0.05,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,10,10,10,10,10,10,11,11,12,13,13,13,13,13,13,13,14,14,15,16,15,15,15,15,16,16,15,15,16,16,16
standard deviations in prosocial proportions,3,0.05,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,0.26666666666666666,0.25873624493766706,0.26887109674836129,0.27195281453467868,0.21746647251166482,0.26365486699260626,0.20552515100379601,0.31272374909924683,0.32955029215846315,0.20149017494232963,0.28234250699416974,0.31377533975693378,0.24859896704699122,0.31272592096539664,0.3399249636810987,0.33676732145035121,0.24281045302822785,0.24491715013620222,0.234652356466032,0.20305821551685341,0.2100852266798782,0.33701668640229115,0.37449554547450481,0.33175552504074701,0.2938903329097059,0.24206145913796354,0.15153535218873171,0.26117020607873681,0.29973947020704494,0.21949278651776538,0.26352313834736496
